Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),Total Acceleration (m/s2),Total Acceleration (g)
0.4542817,0.351958,-0.134079,9.744699,9.751974,2.213374,339.145538,9.962578,1.015553313
0.4562831,0.339987,-0.117319,9.732727,9.73937,2.116369,340.961975,9.955395,1.014821101
0.4582845,0.337593,-0.117319,9.732727,9.739286,2.102917,340.836761,9.953001,1.014577064
0.4602858,0.328016,-0.141262,9.713573,9.720136,2.105614,336.700531,9.900327,1.009207645
0.4622914,0.316044,-0.112531,9.701602,9.7074,1.980409,340.401184,9.905115,1.009695719
0.4642928,0.328016,-0.114925,9.689631,9.695862,2.054237,340.691315,9.902722,1.009451784
0.4662941,0.349564,-0.107742,9.694419,9.701318,2.160936,342.86969,9.936241,1.012868603
0.4682958,0.375901,-0.102954,9.699207,9.707035,2.301122,344.683136,9.972154,1.01652946
0.4702971,0.416604,-0.079011,9.735122,9.744352,2.494106,349.261108,10.072715,1.026780326
0.4722984,0.433364,-0.093377,9.768641,9.778695,2.598345,347.840393,10.108628,1.030441182
0.4742997,0.440547,-0.090982,9.778218,9.788561,2.634108,348.331238,10.127783,1.032393782
0.4763011,0.457306,-0.090982,9.79019,9.801287,2.726706,348.747772,10.156514,1.035322528
0.4783024,0.469278,-0.107742,9.821315,9.83311,2.806655,347.069458,10.182851,1.038007238
0.4803034,0.469278,-0.107742,9.840469,9.852242,2.80121,347.069458,10.202005,1.039959735
0.4823048,0.466884,-0.088588,9.850046,9.861503,2.762084,349.256226,10.228342,1.042644444
0.4843062,0.457306,-0.079011,9.847652,9.858582,2.698128,350.19751,10.225947,1.042400306
0.4863078,0.462095,-0.069434,9.854836,9.865908,2.714691,351.454712,10.247497,1.044597044
0.4883092,0.476461,-0.062251,9.862018,9.873716,2.789375,352.556274,10.276228,1.04752579
0.4903105,0.476461,-0.043097,9.864412,9.876007,2.776644,354.831543,10.297776,1.049722324
0.4923104,0.481249,-0.043097,9.859624,9.871456,2.805609,354.88269,10.297776,1.049722324
0.4943117,0.493221,-0.028731,9.871595,9.883951,2.865189,356.666138,10.336085,1.053627421
0.496313,0.490826,-0.019154,9.873989,9.886199,2.84792,357.765198,10.345661,1.054603568
0.4983157,0.476461,-0.03352,9.864412,9.87597,2.772199,355.975769,10.307353,1.050698573
0.500317,0.459701,0,9.866806,9.877509,2.667485,0,10.326507,1.05265107
0.5023184,0.447729,-0.004789,9.866806,9.87696,2.598195,359.387238,10.309746,1.050942508
0.5043198,0.440547,0,9.883567,9.89338,2.552133,0,10.324114,1.052407136
0.5063211,0.418998,-0.004789,9.871595,9.880485,2.430594,359.345215,10.285804,1.048501937
